Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/primes?limit=800,460,33,1800.0,1778.8613084010253,595.4447030089796,4047.9956660419703,31.284782608695654,2.055829069241538,0.1474833897499364,1800,2000,2100,2200,2300,2400,2900,3600,4000,4000,4000
,Aggregated,460,33,1800.0,1778.8613084010253,595.4447030089796,4047.9956660419703,31.284782608695654,2.055829069241538,0.1474833897499364,1800,2000,2100,2200,2300,2400,2900,3600,4000,4000,4000
