Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/primes?limit=800,460,0,1700.0,1672.811962023843,799.1019790060818,3386.814803816378,33.87826086956522,2.0647492990017806,0.0,1700,2000,2100,2100,2200,2400,2600,3200,3400,3400,3400
,Aggregated,460,0,1700.0,1672.811962023843,799.1019790060818,3386.814803816378,33.87826086956522,2.0647492990017806,0.0,1700,2000,2100,2100,2200,2400,2600,3200,3400,3400,3400
