Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/primes?limit=800,1430,0,2500.0,2612.720446026122,614.2018851824105,6398.453640984371,33.44195804195804,6.100494341600538,0.0,2500,2900,3100,3300,3800,4100,4900,5400,6200,6400,6400
,Aggregated,1430,0,2500.0,2612.720446026122,614.2018851824105,6398.453640984371,33.44195804195804,6.100494341600538,0.0,2500,2900,3100,3300,3800,4100,4900,5400,6200,6400,6400
