Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/primes?limit=800,384,25,1200.0,3651.1147390532037,354.5005770865828,59799.393942113966,31.591145833333332,1.6994746937404048,0.1106428837070576,1200,1200,1300,1700,4300,20000,59000,59000,60000,60000,60000
,Aggregated,384,25,1200.0,3651.1147390532037,354.5005770865828,59799.393942113966,31.591145833333332,1.6994746937404048,0.1106428837070576,1200,1200,1300,1700,4300,20000,59000,59000,60000,60000,60000
