Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/primes?limit=800,263,22,2700.0,10721.62342756126,91.43033786676824,63302.96250595711,30.813688212927758,1.16889329955741,0.0977781467310381,2700,4500,5100,6100,55000,56000,62000,63000,63000,63000,63000
,Aggregated,263,22,2700.0,10721.62342756126,91.43033786676824,63302.96250595711,30.813688212927758,1.16889329955741,0.0977781467310381,2700,4500,5100,6100,55000,56000,62000,63000,63000,63000,63000
